"","Media","N","Tinggi.Tanaman","sd","se","ci"
"1","100% Jangkos",10,2.45,1.05224627451097,0.332749488688145,0.752731639253328
"2","100% Kompos",10,2.41,1.24939985593084,0.395094925302768,0.893766815258879
"3","100% Tanah",10,4.15,0.869546497383039,0.274974746315205,0.622036091965559
"4","50% Tanah 50% Jangkos",10,2.25,1.5650701084758,0.494918624063032,1.11958371042642
"5","50% Tanah 50% Kompos",10,3.6,1.25786415094088,0.397771570404701,0.899821807148485
