"","Media","N","Lebar.daun","sd","se","ci"
"1","100% Jangkos",10,0.135,0.0499199358973947,0.0157860698085369,0.0357105708898142
"2","100% Kompos",10,0.0823,0.0658753874118905,0.0208316265967559,0.0471244133185889
"3","100% Tanah",10,0.1294,0.0768045137562457,0.0242877198051471,0.0549426393252493
"4","50% Tanah 50% Jangkos",10,0.1713,0.0586913773716189,0.0185598431506782,0.041985282123718
"5","50% Tanah 50% Kompos",10,0.1392,0.0799330275223508,0.0252770427243554,0.0571806432532568
