"","Media","n","mean","sd","min","Q1","median","Q3","max","percZero"
"1","100% Jangkos",10,0.7,0.8,0,0,0.5,1,2,50
"2","100% Kompos",10,0.7,0.7,0,0,1,1,2,40
"3","100% Tanah",10,0.7,0.8,0,0,0.5,1,2,50
"4","50% Tanah 50% Jangkos",10,0.9,0.7,0,0.2,1,1,2,30
"5","50% Tanah 50% Kompos",10,0.4,0.5,0,0,0,1,1,60
