"","Media","N","Jumlah.petiqlule","sd","se","ci"
"1","100% Jangkos",10,68.4,24.9586324411682,7.89261257970599,17.8543300803731
"2","100% Kompos",10,43.4,30.9558825858134,9.78910959519131,22.1445043881787
"3","100% Tanah",10,81,10.8832184782097,3.44157586643741,7.78538549757484
"4","50% Tanah 50% Jangkos",10,80.6,10.0686532256195,3.18398771633588,7.20268061877071
"5","50% Tanah 50% Kompos",10,90,15.9164485150844,5.03322295684717,11.3859413637922
