"","Media","n","mean","sd","min","Q1","median","Q3","max","percZero"
"1","100% Jangkos",10,5.7,4,0,1.8,8,8,9,30
"2","100% Kompos",10,2.6,2.4,0,0,3.5,4,6,40
"3","100% Tanah",10,6.6,4.7,0,2,8.5,9.8,12,30
"4","50% Tanah 50% Jangkos",10,11.9,9.5,0,9,10.5,11.8,37,10
"5","50% Tanah 50% Kompos",10,7.7,5.6,0,2.2,9.5,11,15,30
