"","Media","N","Jumlah.petiole","sd","se","ci"
"1","100% Jangkos",10,8.6,3.13404247294484,0.991071249821234,2.24195892662647
"2","100% Kompos",10,6.9,2.92308816911917,0.924361641590803,2.09105130854054
"3","100% Tanah",10,10.5,1.71593835683117,0.542627353203324,1.22750835377913
"4","50% Tanah 50% Jangkos",10,10.2,1.54919333848297,0.489897948556636,1.10822615336754
"5","50% Tanah 50% Kompos",10,10.6,1.34989711542111,0.42687494916219,0.965658223866367
