"","Media","N","Jumlah.petiole","sd","se","ci"
"1","100% Jangkos",10,5.7,3.97352348538283,1.25653845499805,2.84248746630523
"2","100% Kompos",10,2.6,2.36643191323985,0.748331477354788,1.6928434116455
"3","100% Tanah",10,6.6,4.69515116310907,1.48473716342134,3.35870880910627
"4","50% Tanah 50% Jangkos",10,11.9,9.48038911531472,2.99796227090632,6.7818618249295
"5","50% Tanah 50% Kompos",10,7.7,5.57872944515346,1.76414914965323,3.99078263513242
