"","Media","N","Jumlah.daun","sd","se","ci"
"1","100% Jangkos",10,0.7,0.823272602348565,0.260341655863555,0.588933741586486
"2","100% Kompos",10,0.7,0.674948557710553,0.213437474581095,0.482829111933184
"3","100% Tanah",10,0.7,0.823272602348565,0.260341655863555,0.588933741586486
"4","50% Tanah 50% Jangkos",10,0.9,0.737864787372622,0.233333333333333,0.527836671319581
"5","50% Tanah 50% Kompos",10,0.4,0.516397779494322,0.163299316185545,0.36940871778918
