"","Media","N","Keliling.batang","sd","se","ci"
"1","100% Jangkos",10,0.16,0.0843274042711568,0.0266666666666667,0.0603241910079521
"2","100% Kompos",10,0.14,0.0699205898780101,0.0221108319357027,0.0500181768387771
"3","100% Tanah",10,0.13,0.0948683298050514,0.03,0.0678647148839461
"4","50% Tanah 50% Jangkos",10,0.19,0.0994428926011753,0.031446603773522,0.0711371599719499
"5","50% Tanah 50% Kompos",10,0.15,0.143372087784044,0.0453382350291181,0.102562213119748
