"","Media","n","mean","sd","min","Q1","median","Q3","max"
"1","100% Jangkos",10,1.1,0.6,0.2,0.8,1,1.3,2
"2","100% Kompos",10,0.9,0.7,0.1,0.4,0.7,1.4,2.2
"3","100% Tanah",10,1,0.7,0.2,0.5,0.9,1,2.2
"4","50% Tanah 50% Jangkos",10,1.4,0.7,0.1,1.1,1.4,1.9,2.5
"5","50% Tanah 50% Kompos",10,0.9,0.8,0.2,0.3,0.5,1.2,2.8
