"","Media","N","Panjang.daun","sd","se","ci"
"1","100% Jangkos",10,1.0934,0.554107931724497,0.175224313381448,0.396384935612241
"2","100% Kompos",10,0.8883,0.686943318056317,0.217230550849143,0.491409646581989
"3","100% Tanah",10,0.9719,0.678690315567008,0.214620722309018,0.485505804256269
"4","50% Tanah 50% Jangkos",10,1.43,0.723014522675721,0.228637267303474,0.51721343191316
"5","50% Tanah 50% Kompos",10,0.8842,0.829417171539416,0.262284739251914,0.593329301591376
