"","Media","n","mean","sd","min","Q1","median","Q3","max","percZero"
"1","100% Jangkos",10,61.6,43.2,0,19,81,89.5,104,30
"2","100% Kompos",10,21.2,21.4,0,0,25,31,64,40
"3","100% Tanah",10,61.2,43.3,0,17,80,94.5,100,30
"4","50% Tanah 50% Jangkos",10,112.7,72.4,0,89,96,123,290,10
"5","50% Tanah 50% Kompos",10,69.8,52.6,0,20.5,85,96,156,30
