lon,lat,spesies,jumlah,date,IUCN_category
107.895917,-3.04472222,Tarsius bancanus ssp. saltator,1,9-Mar-20,ENDANGERED
107.8927778,-3.04416667,Tarsius bancanus ssp. saltator,1,13-Aug-20,ENDANGERED
