"","Nama.Latin","closestMatch","ANJA","ANJAS","SMM","KAL","PMP","PPM","ANJAP"
"220","Dinopium javanense","0",0,0,0,0,0,0,0
"221","Diplacodes trivialis ","0",0,0,0,0,0,0,0
"222","Dogania subplana","0",0,0,0,0,0,0,0
"223","Doleschallia bisaltide ","0",0,0,0,0,0,0,0
"224","Dorcopsis muelleri","0",0,0,0,0,0,0,0
"225","Draco volans","0",0,0,0,0,0,0,0
"226","Dryocopus javensis","0",0,2,0,0,0,0,0
"227","Dryocopus pileatus","0",1,0,0,0,0,0,0
"228","Ducula aenea","0",0,0,0,1,0,0,0
"229","Ducula chalconota","0",0,0,0,0,0,0,1
"230","Ducula pinon","0",0,0,0,0,0,3,53
"231","Ducula zoeae","0",0,0,0,0,0,0,2
"232","Duttaphrynus melanostictus","0",0,0,0,0,0,0,0
"233","Eclectus roratus","0",0,0,0,0,0,2,50
"234","Eclectus sp","0",0,0,0,0,0,0,0
"235","Edolisoma schisticeps","0",0,0,0,0,0,0,0
"236","Egretta alba","0",0,0,0,0,0,0,0
"237","Egretta eulophotes","0",0,0,42,0,0,0,0
"238","Egretta garzetta","0",0,0,0,20.3214285714286,0,0,0
"239","Egretta intermedia","0",0,0,1,0,0,16,68
"240","Egretta sacra","0",0,0,0,0,0,2,0
"241","Elang","0",0,0,0,0,2,0,0
"242","Elang bintik hitam/putih","0",0,0,0,0,0,0,0
"243","Elang merah","0",0,0,0,0,0,0,0
"244","Elanus caeruleus","0",11,0,18,9,0,0,0
"245","Elseya sp.","0",0,1,0,0,0,0,0
"246","Emoia caeruleocauda","0",0,0,0,0,0,0,3
"247","Emydura subglobosa","0",0,0,0,0,0,0,0
"248","Epicauta Hirticornis","0",0,0,0,0,0,0,0
"249","Eudynamys scolopaceus","0",0,0,0,0,0,0,0
"250","euploea crameri","0",0,0,0,0,0,0,0
"251","Eurema blanda","0",0,0,0,3,0,0,0
"252","Eurostopodus archboldi","0",0,0,0,0,0,0,0
"253","Eurostopodus papuensis","0",0,0,0,0,0,0,0
"254","Eurylaimus ochromalus","0",0,0,0,0,0,0,0
"255","Eurystomus orientalis","0",0,0,1,8,0,0,0
"256","Euthysanius","0",0,0,0,0,0,0,0
"257","Eutropis multifasciata","0",0,0,0,0,0,0,0
"258","Exobrucus  sinensis","0",0,0,0,0,0,0,0
"259","Falco peregrinus","0",0,0,0,0,0,0,0
"260","Gallus gallus","0",0,1,0,0,0,0,0
"261","Gecko Gecko","0",0,0,0,0,0,0,0
"262","Gecko vittatus","Gekko vittatus",0,0,0,0,0,0,0
"263","Gekko monarchus","0",0,0,0,0,0,0,0
"264","Gekko smithii","0",0,1,0,0,0,0,0
"265","Gekko vittatus","0",0,0,0,0,0,0,0
"266","Gekkonidae","0",0,0,0,0,0,0,0
"267","Gelochelidon nilotica","0",0,0,0,0,0,0,0
