"","Nama.Latin","closestMatch","ANJA","ANJAS","SMM","KAL","PMP","PPM","ANJAP"
"571","Rhipidura javanica","0",40,0,0,0,0,0,0
"572","Rhipidura leucophrys","0",0,0,0,0,1,0,0
"573","Rhipidura maculipectus","0",0,0,0,0,0,0,1
"574","Rhodothemis rufa","0",0,0,0,0,0,0,0
"575","Rhynchophorus papuanus","0",0,0,0,0,0,0,1
"576","Rhyticeros plicatus","0",0,0,0,0,5,7,109
"577","Rinjak","0",0,1,0,0,0,0,0
"578","Ruak ruak","0",0,0,0,0,0,0,0
"579","Rusa unicolor","0",0,0,0,0,0,0,0
"580","Salticidae","0",0,0,0,0,0,0,0
"581","Sanca","0",0,0,0,0,0,0,0
"582","Sarang semut papua","0",0,0,0,0,0,0,0
"583","Scandentia sp","0",0,0,0,0,0,0,0
"584","Scincidae","0",0,0,0,0,0,0,0
"585","Scolopendra cataracta","0",0,0,0,0,0,0,0
"586","Scorpion","0",0,0,0,0,0,0,0
"587","Scythrops novaehollandiae","0",0,0,0,0,0,0,0
"588","Seleucidis melanoleucus","0",0,0,0,0,0,0,0
"589","Serangga","0",0,0,0,0,0,0,0
"590","Serangga Bumbelbe","0",0,0,0,0,0,0,0
"591","Setora Nitens","0",0,0,0,0,0,0,0
"592","Siput","0",0,0,0,0,0,0,0
"593","Sphenomorphus sp.","0",0,0,0,0,0,0,0
"594","Spilocuscus maculatus","0",0,0,0,0,0,0,0
"595","Spilocuscus rufoniger","0",0,0,0,0,0,0,0
"596","Spilocuscus wilsoni","0",0,0,0,0,0,0,0
"597","Spilornis cheela","0",0,0,2,8,0,0,0
"598","Spilornis kinabaluensis","0",7,0,0,0,0,0,0
"599","Spinaria spinator","0",0,0,0,0,0,0,0
"600","Stachyris rufifrons","0",0,0,0,0,0,0,0
"601","Stagmomantis Carolina","0",0,0,0,0,0,0,0
"602","Statmimanthis","0",0,0,0,0,0,0,0
"603","Sterna albifrons","0",0,0,0,0,0,0,272
"604","Sterna dougallii","0",0,0,0,0,0,0,8
"605","Sterna hirundo","0",0,0,0,0,0,0,0
"606","Sterna paradisaea","0",0,0,0,0,0,0,1
"607","Sternula albifrons","Sterna albifrons",0,0,0,0,0,0,0
"608","Streptopelia chinensis","0",1,0,1,19,0,0,0
"609","Sturnidae sp","0",0,0,0,0,0,0,0
"610","Sus scrofa","0",0,0,2,0,18,3,10
"611","Susica Pallida","0",0,0,0,0,0,0,0
"612","Syma torotoro","0",0,0,0,0,7,2,0
"613","Symphalangus syndactylus","0",0,0,0,0,0,0,0
"614","Synbranchidae","0",0,0,0,0,0,0,0
"615","Tabanidae","0",0,0,0,0,0,0,0
"616","Tadorna radjah","0",0,0,0,0,0,0,12
"617","Takydromus sexlineatus","0",0,0,0,0,0,0,0
"618","Talegalla cuvieri","0",0,0,0,0,0,0,0
"619","Talegalla jobiensis","0",0,0,0,0,0,0,0
"620","Tarantula putih","0",0,0,0,0,0,0,0
"621","Tarsius bancanus ssp. saltator","0",0,0,0,0,0,0,0
"622","Tephrodornis gularis","0",0,0,0,0,0,0,0
"623","Threskiornis aethiopicus","0",0,0,0,0,0,1,4
"624","Thylogale brunii","0",0,0,0,0,4,0,0
"625","Tikus","0",0,0,0,0,0,0,0
"626","Tiliqua scincoides","0",0,0,0,0,2,0,0
"627","Todhramphus chloris","0",0,0,0,0,0,0,0
"628","Todiramphus sanctus","0",0,0,0,0,0,0,0
"629","Tokek","0",0,0,0,0,0,0,0
"630","Toxorhamphus novaeguineae","0",0,0,0,0,0,0,0
"631","Toxotes sp.","0",0,0,0,0,0,0,0
"632","Trachypithecus cristatus","0",0,5,6,0,0,0,0
"633","Trachypithecus sp","0",0,0,0,0,0,0,0
"634","Treron capellei","0",0,0,0,0,0,0,0
"635","Treron curvirostra","0",0,0,0,0,0,0,0
"636","Treron olax","0",0,0,0,0,0,0,0
"637","Treron sp","0",0,0,0,0,0,0,0
"638","Treron vernans","0",0,0,7,0,0,0,0
"639","Trichogaster pectoralis","0",0,0,0,0,0,0,0
"640","Trichogaster Sp","0",0,0,0,0,0,0,0
"641","Trichoglossus haematodus","0",0,0,0,0,5,0,7
"642","Trichoglossus moluccanus","0",0,0,0,0,0,6,0
"643","Trigoniulus corallinus","0",0,0,0,0,0,0,0
"644","Triguna","0",0,0,0,0,0,0,0
"645","Trimeresurus insularis","0",0,0,0,0,0,0,0
"646","Tringa glareola","0",0,0,0,0,0,0,0
"647","Tringa nebularia","0",0,0,0,0,0,0,0
"648","Tringa stagnatilis","0",0,0,0,0,0,0,1
"649","troides amphrysus","0",0,0,0,0,0,0,0
"650","Tropidolaemus subannulatus","0",0,0,0,0,0,0,0
"651","Tupaia glis","0",0,0,0,0,0,0,0
"652","Tupaia gracilis","0",0,0,0,4,0,0,0
"653","Tupaia minor","0",0,2,0,0,0,0,0
"654","Tupaia montana","0",0,0,0,0,0,0,0
"655","Tupaia picta","0",0,0,0,0,0,0,0
"656","Tupaia tana","0",0,0,20,2,0,0,0
"657","Tyto alba","0",2,0,2,0,0,0,0
"658","Tyto tenebricosa","0",0,0,0,0,0,0,2
"659","Ular","0",0,0,0,0,1,0,0
"660","Ular ( warna kuning blang"")","0",0,0,0,0,0,0,0
"661","Ular Cobra Hitam Kuning","0",0,0,0,0,0,0,0
"662","Ular daun","0",0,0,0,0,1,0,0
"663","Ular Hitam","0",0,0,0,0,2,0,0
"664","Ular hitam pendek","0",0,0,0,0,0,0,0
"665","Ular kaki empat","0",0,0,0,0,0,0,0
"666","Ular kuning","0",0,0,0,0,1,0,0
"667","Ular mata tengkalang","0",0,0,0,0,0,0,0
"668","Ular Panas Keladan","0",0,0,0,0,0,0,0
"669","Ular putih","0",0,0,0,0,2,0,0
"670","Ular Python","0",0,0,0,0,0,0,0
"671","Ular Sawa","0",1,2,0,0,0,0,0
"672","Ular tanah","0",0,0,0,0,1,0,0
"673","Ulat Api","0",0,0,0,0,0,0,0
"674","Ulat Bulu","0",0,0,0,0,0,0,0
"675","Ulat Kupu-Kupu","0",0,0,0,0,0,0,0
"676","Ulat merah Putih","0",0,0,0,0,0,0,0
"677","Ulat pemakan Daun","0",0,0,0,0,0,0,0
"678","Urip","0",0,0,0,0,2,0,0
"679","Urodynamis taitensis","0",0,0,0,0,0,0,0
"680","Valanga Nigricornis","0",0,0,0,4,0,0,0
"681","Varanus lirungensis","0",0,0,0,0,0,0,0
"682","Varanus prasinus","0",0,0,0,0,0,0,0
"683","Varanus salvadorii","0",0,0,0,0,0,0,0
"684","Varanus salvator","0",224,3,107,1,2,0,15
"685","Varanus sp.","0",0,0,0,0,1,0,0
"686","Various","0",0,0,0,0,0,0,0
"687","Vespa affinis","0",0,0,0,0,0,0,0
"688","Vespa ffinis","0",0,0,0,0,0,0,0
"689","Waigeo cuscus","0",0,0,0,0,0,0,0
"690","Wallago sp","0",0,0,0,0,0,0,0
"691","Wayang","0",0,0,0,0,0,0,0
"692","Xanthotis flaviventer","0",0,0,0,0,0,0,0
"693","Ypthima fasciata","0",0,0,0,0,0,0,0
"694","Zanclostomus javanicus","0",0,0,0,0,0,0,0
"695","Zapornia pusilla","0",0,0,0,0,0,0,0
