,Nama.Latin,ANJA,ANJAS,SMM,KAL,PMP,PPM,ANJAP
111,Callosciurus notatus,0,0,0,0,0,0,0
112,Callosciurus prevostii,0,0,0,5,0,0,0
113,Calloselasma rhodostoma,0,0,0,0,0,0,0
114,Calotes sp,0,0,0,0,0,0,0
115,Candoia aspera,0,0,0,0,0,0,0
116,Capung,0,0,0,0,0,0,0
117,Capung Cokelat Bata,0,0,0,0,0,0,0
118,Carlia fusca,0,1,0,0,0,0,3
119,Carterocephalus palaemon,0,0,0,0,0,0,0
120,Casuarius casuarius,0,0,0,0,3,0,1
121,Casuarius unappendiculatus,0,0,0,0,0,2,0
122,Cekarang Belukar,0,0,0,0,0,0,0
123,Celeus brachyurus,0,0,0,0,0,0,0
124,Centropus bengalensis,0,0,1,0,0,0,0
125,Centropus bernsteini,2,0,0,0,0,4,12
126,Centropus rectunguis,0,0,0,0,0,0,0
127,Centropus sinensis,0,0,0,11,0,0,0
128,Cercopithecidae,0,1,0,0,0,0,0
129,Cervus timorensis,0,0,0,0,0,0,0
130,cethosia penthesilea,0,0,0,0,0,0,0
131,Ceyx lepidus,0,0,0,0,0,0,1
132,Ceyx rufidorsa,0,0,0,0,0,0,0
133,Chalcites ruficollis,0,0,0,0,0,0,0
134,Chalcophaps indica,0,0,0,0,0,0,0
136,Chalcophaps stephani,0,0,0,0,0,0,0
137,Chalcopsitta atra,0,0,0,0,0,91,75
138,Channa micropeltes,0,0,0,0,0,0,0
139,Channa striata,0,0,0,4,0,0,0
140,Charmosyna papou,0,0,0,0,0,25,0
141,Charmosyna placentis,0,0,0,0,0,0,75
143,Charmosyna rubrigularis,0,0,0,0,0,0,0
144,Chelodina novaeguineae,0,0,0,0,0,1,0
145,Chersonesia rahria,0,0,0,0,0,0,0
146,Chilopoda,0,0,0,0,0,0,0
147,Chlidonias hybridus,0,0,0,0,0,0,0
148,Chloropsis cochinchinensis,0,0,0,0,0,0,0
149,Chloropsis cyanopogon,0,2,0,0,0,0,0
150,Chloropsis sonnerati,0,2,0,0,0,0,0
151,Chrysococcyx ruficollis,0,0,0,0,0,0,0
152,Chrysopelea paradisi,0,0,0,0,0,0,0
153,Chrysophlegma miniaceum,0,0,0,0,0,0,0
154,Ciconia ciconia,0,0,0,0,0,0,0
155,Ciconia episcopus,0,0,0,0,0,0,0
156,Ciconiidae 1,0,0,0,0,0,0,0
157,Ciconiidae sp,0,0,0,0,0,0,0
158,Cinnyris jugularis,0,0,5,0,0,0,7
159,Clarias sp,0,0,0,0,0,0,0
160,Cocomantis flabeliformis,0,0,0,0,0,0,6
161,Coelagnatus Radiatus,0,0,0,0,0,0,0
162,Collocalia esculenta,1,0,0,0,0,7,8
163,Collocalia Maxima,0,0,0,0,0,0,0
164,Colluricinclam megarhyncha,0,0,0,0,0,0,0
165,Colossoma macropomum,0,0,0,0,0,0,0
166,Columba livia,0,0,0,0,0,0,0
167,Common sp,0,0,0,0,0,0,0
168,Copsychus malabaricus,0,0,0,0,0,0,0
169,Copsychus saularis,1,1,0,1,0,0,0
170,Coracina melaena,0,0,0,0,0,0,0
171,Coracina papuensis,0,0,0,0,0,21,10
172,Corvus enca,0,1,0,36,0,0,0
173,Cosymbotus platyurus,0,0,0,0,0,0,0
174,Coturnix chinensis,0,1,12,0,0,0,0
175,Craseonycteris thonglongyai,0,0,0,0,0,0,7
176,Crateroscelis muriana,0,0,0,0,0,0,0
177,Crocodylus novaeguineae,0,0,0,0,2,0,0
178,Crocodylus porosus,0,0,0,0,0,0,0
179,Crocothemis servilia,0,0,0,0,0,0,0
180,Cucak Ijo,0,0,0,0,0,0,0
181,Cucak Ijo Besar,0,0,0,0,0,0,0
182,Cuculus saturatus,0,0,1,0,0,3,0
183,Cuora amboinensis,0,0,0,0,0,0,0
184,Cuora amboinensis couro,0,0,0,0,0,0,0
185,Cuora amboninensis,0,0,0,0,0,0,0
186,Cyclopsitta diophthalma,0,0,0,0,0,0,27
187,Cyclopsitta gulielmitertii,0,0,0,0,0,0,0
188,Cyclopsitta nigrifrons,0,0,0,0,0,25,0
189,Cymbirhynchus macrorhynchos,0,0,0,0,0,0,0
190,Cynopterus titthaecheilus,0,0,0,0,0,0,0
191,Dacelo gaudichaud,0,0,0,0,1,6,18
192,Danaidae,0,0,0,0,0,0,0
193,Daphnis hypothous,0,0,0,0,0,0,0
194,dari Famili Junonia,0,0,0,0,0,0,0
195,Dasia olivacea,0,0,0,0,0,0,1
196,Delichon dasypus,0,0,0,0,0,0,0
197,Dendrelaphis caudolineatus,0,0,0,0,0,0,0
198,Dendrelaphis pictus,0,0,0,0,0,2,3
199,Dendrocopos moluccensis,0,0,0,0,0,0,0
200,Dendrocygna arcuata,0,0,0,0,0,0,0
201,Dendrocygna guttata,0,0,0,0,1,33,840
202,Dendrocygna javanica,1,6,2,0,0,0,0
203,Dendrocygna sp,0,0,0,0,0,0,0
204,Dendrocygna eytoni,0,0,0,0,0,0,0
205,Dicaeum ignipectus,0,0,0,0,0,0,0
206,Dicaeum pectorale,0,0,0,0,0,0,9
207,Dicaeum trigonostigma,0,0,0,0,0,0,0
208,Dicrurus bracteatus,0,0,0,0,0,0,0
209,Dicrurus hottentottus,0,0,0,0,0,28,12
210,Dicrurus Leucophaeus,0,0,0,0,0,0,0
211,Dicrurus paradiseus,0,0,0,2,0,0,0
212,Dicrurus sp,0,0,0,0,0,0,0
213,Dicrurus sumatranus,0,10,0,0,0,0,0
214,Dinopium javanense,0,0,0,0,0,0,0
215,Diplacodes trivialis ,0,0,0,0,0,0,0
216,Dogania subplana,0,0,0,0,0,0,0
217,Doleschallia bisaltide ,0,0,0,0,0,0,0
218,Dorcopsis muelleri,0,0,0,0,0,0,0
219,Draco volans,0,0,0,0,0,0,0
220,Dryocopus javensis,0,0,0,0,0,0,0
221,Dryocopus pileatus,0,0,0,0,0,0,0
222,Ducula aenea,0,0,0,1,0,0,0
223,Ducula chalconota,0,0,0,0,0,0,0
224,Ducula pinon,0,0,0,0,0,31,70
225,Ducula zoeae,0,0,0,0,0,8,1
226,Duttaphrynus melanostictus,0,0,0,0,0,0,0
227,Eclectus roratus,0,0,0,0,5,20,54
228,Eclectus sp,0,0,0,0,0,0,0
229,Edolisoma schisticeps,0,0,0,0,0,0,0
230,Egretta alba,0,0,0,0,2,0,0
231,Egretta eulophotes,0,0,34,0,0,0,0
232,Egretta garzetta,0,0,0,14,0,0,1
233,Egretta intermedia,0,0,0,0,0,37,164
234,Egretta sacra,0,0,0,0,0,4,2
235,Elang,0,0,0,0,0,0,0
236,Elang bintik hitam/putih,0,0,0,0,2,0,0
237,Elang merah,0,0,0,0,1,0,0
238,Elanus caeruleus,9,0,13,8,0,0,0
239,Emoia caeruleocauda,0,0,0,0,0,2,2
240,Emydura subglobosa,0,0,0,0,0,0,0
241,Epicauta Hirticornis,0,0,0,0,0,0,0
242,Eudynamys scolopaceus,0,0,0,0,0,0,0
243,euploea crameri,0,0,0,0,0,0,0
244,Eurema blanda,0,0,0,4,0,0,0
245,Eurostopodus archboldi,0,0,0,0,0,0,0
246,Eurostopodus papuensis,0,0,0,0,0,0,0
247,Eurylaimus ochromalus,0,1,0,0,0,0,0
248,Eurystomus orientalis,0,0,0,5,0,1,0
249,Euthysanius,0,0,0,0,0,0,0
250,Eutropis multifasciata,0,0,1,0,0,0,0
251,Exobrucus  sinensis,0,0,0,0,0,1,0
252,Falco peregrinus,0,0,0,0,0,0,0
253,Gallus gallus,0,1,0,0,0,0,0
254,Gecko Gecko,0,0,0,0,0,0,0
256,Gekko monarchus,0,0,0,0,0,0,0
257,Gekko smithii,0,0,0,0,0,0,0
258,Gekko vittatus,0,0,0,0,0,1,0
259,Gekkonidae,0,0,0,0,0,0,0
260,Gelochelidon nilotica,0,0,0,0,0,0,0
261,Geoffroyus geoffroyi,0,0,0,0,1,46,113
263,Geopelia striata,5,3,1,0,0,0,0
264,Glareola maldivarum,0,0,0,0,0,0,0
265,Glossogobius giuris,0,0,0,0,0,0,0
266,Golden Massher,0,0,0,0,0,0,0
267,Goura cristata,0,0,0,0,0,0,3
268,Gracula religiosa,0,14,0,2,0,0,0
269,Gracupica contra,59,4,0,0,0,0,0
270,Halcyon smyrnensis,2,2,126,1,0,0,0
271,Haliaeetus leucogaster,0,0,0,0,0,4,0
272,Haliastur indus,0,0,0,0,1,41,29
273,Haliastur Sphenurus,0,0,0,0,0,14,1
274,Hapithus agigator,0,0,0,0,0,0,0
275,Harpactes erythrocephalus,0,0,0,0,0,0,0
276,Harpyopsis novaeguineae,0,0,0,0,0,0,0
277,Hemigalus derbyanus,9,0,0,0,0,0,0
278,Hemipus hirundinaceus,0,0,0,0,0,0,0
279,Henicopernis longicauda,0,0,0,0,0,1,0
280,Heosemys spinosa,0,0,0,0,0,0,0
281,Hierodula vitrea,0,0,0,2,0,0,0
282,Hirundo rustica,0,0,0,0,0,0,2
283,Hirundo sp,0,0,0,0,0,0,0
284,Hirundo tahitica,0,0,5,84,0,0,0
285,Homolopsis buccata,0,0,0,0,0,0,0
286,Hydroprogne caspia,0,0,0,0,0,0,0
287,Hydrosaurus amboinensis,0,0,0,0,0,0,0
288,Hydrosaurus weberi,0,0,0,0,0,0,0
289,Hylobates agilis,0,0,0,0,0,0,0
290,Hylobates albibarbis,0,0,0,28,0,0,0
291,Hypolimnas Bolina,0,0,0,0,0,0,0
292,Hypolimnas misippus,0,0,0,0,0,0,0
293,Hypsiscopus Plumbea,0,0,0,0,0,0,0
294,Hystrix brachyura,0,0,0,0,0,0,0
296,Ichthyophaga ichthyaetus,0,0,1,0,0,0,0
297,Ichtyopaga Humilis,0,0,0,0,0,0,0
298,Ictinaetus malaiensis,0,0,0,0,0,0,0
299,Ictinaetus malayensis,0,11,0,0,0,0,0
301,Ikan bubara,0,0,0,0,0,0,0
302,Ikan Gabus,0,1,0,0,0,0,0
303,Ikan lele,0,0,0,0,0,0,0
304,Imbo,0,0,0,0,0,0,0
305,Irena puella,0,0,0,0,0,0,0
306,Iris oratoria,0,0,0,0,0,0,0
307,Isoodon macrourus,0,0,0,0,0,0,0
308,Ixobrychus flavicollis,0,0,0,0,0,0,1
309,Jalak kelabu,0,0,0,0,0,0,0
310,Jangkrik,0,0,0,0,0,0,0
311,Junonia Hylas,0,0,0,0,0,0,0
312,Junonia iphita,0,0,0,0,0,0,0
313,Junonia lemonias,0,0,0,0,0,0,0
