,Nama.Latin,ANJA,ANJAS,SMM,KAL,PMP,PPM,ANJAP
546,Pycnopygius ixoides,0,0,0,0,0,0,0
547,Pyrrhocoridae,0,0,0,0,0,0,0
548,Python breitensteini,0,0,0,0,0,0,0
549,Python curtus,0,0,0,0,0,0,0
550,Python reticulatus,0,0,0,0,0,0,0
551,Rallina fasciata,0,0,0,0,0,0,0
552,Rallus torquatus,0,0,0,0,0,0,0
553,Ramsayornis modestus,0,0,0,0,0,0,2
554,Rangkong,0,0,0,0,0,0,0
555,Rangkong putih,0,0,0,0,0,0,0
556,Rattus tiomanicus,0,0,0,0,0,0,0
557,Ratufa affinis,0,0,0,0,0,0,0
558,Ratufa bicolor,0,0,0,0,0,0,0
559,Rayap,0,0,0,0,0,0,0
560,Rhinoplax vigil,0,0,0,2,0,0,0
562,Rhipidura albolimbata,0,0,0,0,0,0,1
563,Rhipidura atra,0,0,0,0,0,1,0
564,Rhipidura javanica,65,1,0,0,0,0,0
565,Rhipidura leucophrys,0,0,0,0,1,10,1
566,Rhipidura maculipectus,0,0,0,0,0,0,4
567,Rhodothemis rufa,0,0,0,4,0,0,0
568,Rhynchophorus papuanus,0,0,0,0,0,0,0
569,Rhyticeros plicatus,0,0,0,0,2,36,126
570,Ruak ruak,0,0,0,0,0,0,0
571,Rusa unicolor,0,0,0,0,0,0,0
572,Salticidae,0,0,0,0,0,0,0
573,Sanca,0,0,0,0,0,0,0
574,Sarang semut papua,0,0,0,0,2,0,0
575,Scandentia sp,0,0,0,0,0,0,0
576,Scincidae,0,0,0,0,0,0,0
577,Scolopendra cataracta,0,0,0,0,0,0,0
578,Scorpion,0,0,0,0,0,0,0
579,Scythrops novaehollandiae,0,0,0,0,0,0,1
580,Seleucidis melanoleucus,0,0,0,0,0,1,0
581,Serangga,0,0,0,0,0,0,0
582,Serangga Bumbelbe,0,0,0,0,0,0,0
583,Setora Nitens,0,0,0,0,0,0,0
584,Siput,0,0,0,0,0,0,0
585,Sphenomorphus sp.,0,0,0,0,0,0,0
586,Spilocuscus maculatus,0,0,0,0,0,0,0
587,Spilocuscus rufoniger,0,0,0,0,0,0,0
588,Spilocuscus wilsoni,0,0,0,0,0,0,0
589,Spilornis cheela,0,0,4,8,0,0,0
590,Spilornis kinabaluensis,2,0,0,0,0,0,0
591,Spinaria spinator,0,0,0,0,0,0,0
592,Stachyris rufifrons,0,0,0,0,0,0,0
593,Stagmomantis Carolina,0,0,0,0,0,0,0
594,Statmimanthis,0,0,0,0,0,0,0
595,Sterna albifrons,0,0,1,0,0,0,345
596,Sterna dougallii,0,0,0,0,0,0,0
597,Sterna hirundo,0,0,0,0,0,0,0
598,Sterna paradisaea,0,0,0,0,0,0,0
600,Streptopelia chinensis,0,0,6,14,0,0,0
601,Sturnidae sp,0,0,0,0,0,0,0
602,Sus scrofa,0,1,0,0,9,3,20
603,Susica Pallida,0,0,0,0,0,0,0
604,Syma torotoro,0,0,0,0,0,0,2
605,Symphalangus syndactylus,0,0,0,0,0,0,0
606,Synbranchidae,0,0,0,0,0,0,0
607,Tabanidae,0,0,0,0,0,0,0
608,Tadorna radjah,0,0,0,0,0,0,28
609,Takydromus sexlineatus,0,0,0,0,0,0,0
610,Talegalla cuvieri,0,0,0,0,0,1,1
611,Talegalla jobiensis,0,0,0,0,0,0,0
612,Tarantula putih,0,0,0,0,0,0,0
613,Tarsius bancanus ssp. saltator,0,0,2,0,0,0,0
614,Tephrodornis gularis,0,0,0,0,0,0,0
615,Threskiornis aethiopicus,0,0,0,0,0,0,2
616,Thylogale brunii,0,0,0,0,2,0,0
617,Tikus,0,0,0,0,0,0,0
618,Tiliqua scincoides,0,0,0,0,0,3,0
619,Todhramphus chloris,1,0,0,0,0,0,0
620,Todiramphus sanctus,0,0,0,0,0,4,0
621,Tokek,0,0,0,0,0,0,0
622,Toxorhamphus novaeguineae,0,0,0,0,0,8,0
623,Toxotes sp.,0,0,0,0,0,0,0
624,Trachypithecus cristatus,0,0,2,0,0,0,0
625,Trachypithecus sp,0,0,0,0,0,0,0
626,Treron capellei,0,0,0,0,0,0,0
627,Treron curvirostra,0,0,0,0,0,0,0
628,Treron olax,1,1,0,0,0,0,0
629,Treron sp,0,0,0,0,0,0,0
630,Treron vernans,0,0,1,0,0,0,0
631,Trichogaster pectoralis,0,0,0,0,0,0,0
632,Trichogaster Sp,0,0,0,0,0,0,0
633,Trichoglossus haematodus,0,0,0,0,5,15,12
634,Trichoglossus moluccanus,0,0,0,0,0,0,0
635,Trigoniulus corallinus,0,0,0,0,0,0,0
636,Triguna,0,0,0,0,0,0,0
637,Trimeresurus insularis,0,0,0,0,0,0,0
638,Tringa glareola,0,0,0,0,0,0,1
639,Tringa nebularia,0,0,0,0,0,0,0
640,Tringa stagnatilis,0,0,0,0,0,0,0
641,troides amphrysus,0,0,0,0,0,0,0
642,Tropidolaemus subannulatus,0,0,2,0,0,0,0
643,Tupaia glis,1,0,0,0,0,0,0
644,Tupaia gracilis,0,0,0,0,0,0,0
645,Tupaia minor,0,2,0,0,0,0,0
646,Tupaia montana,0,0,0,0,0,0,0
647,Tupaia picta,0,0,0,0,0,0,0
648,Tupaia tana,0,0,23,0,0,0,0
649,Tyto alba,0,0,1,0,0,0,0
650,Tyto tenebricosa,0,0,0,0,0,0,0
651,Ular,0,0,0,0,0,0,0
652,"Ular ( warna kuning blang"")",0,0,0,0,1,0,0
653,Ular Cobra Hitam Kuning,0,0,0,0,0,0,0
654,Ular daun,0,0,0,0,0,0,0
655,Ular Hitam,0,0,0,0,1,0,0
656,Ular hitam pendek,0,0,0,0,0,0,0
657,Ular kaki empat,0,0,0,0,0,0,0
658,Ular mata tengkalang,0,0,0,0,0,0,0
659,Ular Panas Keladan,0,0,0,0,0,0,0
660,Ular putih,0,0,0,0,0,0,0
661,Ular Python,0,0,0,0,0,0,0
662,Ular Sawa,9,1,0,0,0,0,0
663,Ulat Api,0,0,0,0,0,0,0
664,Ulat Bulu,0,0,0,0,0,0,0
665,Ulat Kupu-Kupu,0,0,0,0,0,0,0
666,Ulat merah Putih,0,0,0,0,0,0,0
667,Ulat pemakan Daun,0,0,0,0,0,0,0
668,Urodynamis taitensis,0,0,0,0,0,0,0
669,Valanga Nigricornis,0,0,0,0,0,0,0
670,Varanus lirungensis,0,0,0,0,0,0,1
671,Varanus prasinus,0,0,0,0,0,0,0
672,Varanus salvadorii,0,0,0,0,0,6,0
673,Varanus salvator,7,4,99,1,0,0,4
674,Varanus sp.,0,0,0,0,1,0,0
675,Various,0,0,0,0,0,0,0
676,Vespa affinis,0,0,0,0,0,0,0
677,Vespa ffinis,0,0,0,0,0,0,0
678,Waigeo cuscus,0,0,0,0,0,0,0
679,Wallago sp,0,0,0,0,0,0,0
680,Wayang,0,0,0,0,0,0,0
681,Xanthotis flaviventer,0,0,0,0,0,4,0
682,Ypthima fasciata,0,0,0,0,0,0,0
683,Zanclostomus javanicus,0,0,0,0,0,0,0
684,Zapornia pusilla,0,0,0,0,0,0,2
