,Nama.Latin,closestMatch,ANJA,ANJAS,SMM,KAL,PMP,PPM,ANJAP,sum
260,Hylobates albibarbis,0,0,0,0,23,0,0,0,23
261,Hypolimnas Bolina,0,0,0,0,0,0,0,0,0
262,Hypsiscopus Plumbea,0,0,0,0,0,0,0,0,0
263,Hystrix brachyura,0,0,0,0,0,0,0,0,0
264,Ichthyophaga ichthyaetus,0,0,0,0,0,0,0,0,0
265,Ichtyopaga Humilis,0,0,0,0,0,0,0,0,0
266,Ictinaetus malaiensis,Ictinaetus malayensis,0,0,0,0,0,0,0,0
267,Ictinaetus malayensis,0,0,1,3,0,0,0,0,4
268,Ictinaetus malayensis,0,0,1,0,0,0,0,0,1
269,Ikan lele,0,0,0,0,0,0,0,0,0
270,Imbo,0,0,0,0,0,0,0,0,0
271,Irena puella,0,0,0,0,0,0,0,0,0
272,Iris oratoria,0,0,0,0,0,0,0,0,0
273,Isoodon macrourus,0,0,0,0,0,0,0,0,0
274,Ixobrychus flavicollis,0,0,0,0,0,0,0,2,2
275,Jangkrik,0,0,1,0,0,0,0,0,1
276,Junonia Hylas,0,0,0,0,0,0,0,0,0
277,K galam,0,0,0,0,0,0,0,0,0
278,Kadal,0,0,0,0,0,0,0,0,0
279,Kadal putih,0,0,0,0,0,0,0,0,0
280,Kalajengking,0,0,2,0,0,0,0,0,2
281,Kalelawar,0,0,0,0,0,0,0,0,0
282,Kecoa,0,0,0,0,0,0,0,0,0
283,Kelabang,0,0,0,0,0,0,0,0,0
284,Kengkareng,0,0,0,0,0,0,0,0,0
285,kengkurung ,0,0,0,0,0,0,0,0,0
286,Kepompong,0,0,0,0,0,0,0,0,0
287,Ketupa ketupu,0,0,0,0,0,0,0,0,0
288,Kucing Hutan,0,0,1,0,0,0,0,0,1
289,Kumbang,0,0,0,0,0,0,0,0,0
290,Kumbang Hitam,0,0,0,0,1,0,0,0,1
291,Kumbang Kepala Kuning,0,0,0,0,0,0,0,0,0
292,Kumbang Kepala Putih,0,0,0,0,0,0,0,0,0
293,Kuntul,0,0,0,0,0,0,0,0,0
294,kupu-kupu,Kupu-Kupu,0,0,0,0,0,0,0,0
295,Kupu-kupu,kupu-kupu,0,0,0,0,1,0,0,1
296,Kupu-Kupu,0,0,0,0,0,0,0,0,0
297,Kupu-Kupu Cokelat Bulat-Bulat,0,0,0,0,0,0,0,0,0
298,Kupu-Kupu hitam Kuning,0,0,0,0,0,0,0,0,0
299,Kupu-Kupu Hitam Putih,0,0,0,0,0,0,0,0,0
300,Kupu-Kupu Hitam putih Biru,0,0,0,0,0,0,0,0,0
301,Kupu-Kupu Kuning,0,0,0,0,0,0,0,0,0
302,Kupu-Kupu Orange,0,0,0,0,0,0,0,0,0
303,Kupu-Kupu Putih,0,0,0,0,0,0,0,0,0
304,Kupu -kupu dan capung,0,0,0,0,0,0,0,0,0
305,Kura-kura,0,0,0,0,0,0,0,0,0
306,Laba-laba,0,0,0,0,0,0,0,0,0
307,Laba-Laba,Laba-laba,0,0,0,0,0,0,0,0
308,Laba-Laba Besar,0,0,0,0,0,0,0,0,0
309,Lacertilia,0,0,0,0,0,0,0,0,0
310,Lalage atrovirens,0,0,0,0,0,0,8,5,13
311,Lalage leucomela,0,0,0,0,0,0,0,4,4
312,Lalage nigra,0,0,0,0,0,0,0,1,1
313,Lalat babi,0,0,0,0,0,0,0,0,0
314,Lanius schach,0,0,0,0,0,0,0,0,0
315,Laptocorisa acuta,Leptocorisa acuta,0,0,0,0,0,0,0,0
316,Leiopython albertisii,0,0,0,0,0,0,0,1,1
317,Lepidiota stigma,0,0,0,0,0,0,0,0,0
318,Leprolapis smarangdina,0,0,0,0,0,0,0,0,0
319,Leptocoma sperata,0,0,0,0,5,0,0,0,5
320,Leptocorisa acuta,0,0,0,0,1,0,0,0,1
321,Leptoptilos javanicus,0,0,0,1,0,0,0,0,1
322,Lialis burtonis,0,0,0,0,0,0,0,0,0
323,Liasis fuscus,0,0,0,0,0,0,0,0,0
324,Limacodidae,0,0,0,0,0,0,0,0,0
325,Liopeltis tricolor,0,0,0,1,4,0,0,0,5
326,Lipan,0,0,1,0,0,0,0,0,1
327,Litoria infrafrenata,0,0,0,0,0,0,1,2,3
328,Locusta migratoria,0,0,0,0,0,0,2,0,2
329,Locustella fasciolata,0,0,0,0,0,0,0,0,0
330,Lonchura fuscans,0,0,0,0,0,0,0,0,0
331,Lonchura maja,0,8,0,0,0,0,0,0,8
332,Lonchura punctulata,0,0,8,1,0,0,0,0,9
333,Lonchura tristissima,0,0,0,0,0,0,5,0,5
334,Lophotriorchis kienerii,0,0,0,0,0,0,0,0,0
335,Lophura erythrophthalma,0,0,0,0,0,0,0,0,0
336,Loriculus aurantiifrons,0,0,0,0,0,0,0,0,0
337,Loriculus galgulus,0,0,0,1,0,0,0,0,1
338,Lorius lory,0,0,0,0,0,4,40,137,181
339,Lutra sp.,0,0,0,0,0,0,0,0,0
340,Lutrinae,0,0,0,0,0,0,0,0,0
341,Lutung,0,0,0,0,0,0,0,0,0
342,Lycodon capucinus,0,0,0,0,0,0,0,0,0
343,Lyssa zampa,0,0,0,0,0,0,0,0,0
344,Lyssa Zampa,Lyssa zampa,0,0,0,0,0,0,0,0
345,Macaca fascicularis,0,11,9,119,123,0,0,0,262
346,Macaca nemestrina,0,8,0,0,54,0,0,0,62
347,Macroglossum regulus,0,0,0,0,0,0,0,0,0
348,Macropsita pusio,0,0,0,0,0,0,0,0,0
349,Macropygia amboinensis,0,0,0,0,0,0,3,6,9
350,Macropygia nigrirostris,0,0,0,0,0,0,0,1,1
351,Mahasena carbetti,0,0,0,0,0,0,0,0,0
352,Malayopython reticulatus,0,0,0,0,6,0,0,0,6
353,Malurus alboscapulatus,0,0,0,0,0,0,5,0,5
354,Malurus cyanocephalus,0,0,0,0,0,0,10,39,49
355,Manucodia ater,0,0,0,0,0,0,0,0,0
356,Megaderma spasma,0,0,0,0,0,0,0,0,0
357,Megalaima australis,0,0,0,0,0,0,0,0,0
358,Megalaima raflesii,0,0,0,0,0,0,0,0,0
359,Megapodius freycinet,0,0,0,0,0,0,0,0,0
360,Megapodius reinwardt,0,0,0,0,0,0,1,0,1
361,Melidora macrorrhina,0,0,0,0,0,0,0,1,1
362,Melilestes megarhynchus,0,0,0,0,0,0,1,0,1
363,Meliphaga analoga,0,0,0,0,0,0,2,0,2
364,Meliphaga aruensis,0,0,0,0,0,0,0,2,2
365,Meliphaga aruensis,0,0,0,0,0,0,0,0,0
366,Meliphaga flaviristus,0,0,0,0,0,0,0,0,0
367,Melloria quoyi,0,0,0,0,0,0,1,1,2
368,Melpihaga montana,0,0,0,0,0,0,0,10,10
369,Merops leschenaulti,0,0,0,1,0,0,0,0,1
370,Merops ornatus,0,0,0,0,0,0,0,0,0
371,Merops viridis,0,0,0,0,0,0,0,0,0
372,Merops philippinus,0,0,0,0,0,0,0,0,0
373,Microcarbo melanoleucos,0,0,0,0,0,0,3,0,3
374,Microhierax fringillarius,0,0,0,0,0,0,0,0,0
375,Micropechis ikaheca,0,0,0,0,0,0,0,0,0
376,Micropsitta pusio,0,0,0,0,0,0,0,46,46
377,Milvus migrans,0,0,0,0,0,0,0,0,0
378,Mino anais,0,0,0,0,0,0,2,0,2
380,Mino dumontii,0,0,0,0,0,4,10,73,87
381,Mixornis gularis,0,0,0,0,0,0,0,0,0
382,Monyet,0,0,0,0,0,0,0,0,0
383,Morelia amethistina,0,0,0,0,0,0,0,0,0
384,Morelia viridis,0,0,0,0,0,0,0,1,1
385,Motacilla cinerea,Motacilla Cinerea,0,0,0,0,0,0,1,1
387,Muntiacus muntjak,0,0,0,0,0,0,0,0,0
388,Muscicapa griseisticta,0,0,0,0,0,0,0,0,0
389,Mustela nudipes,0,0,0,0,3,0,0,0,3
390,Mycalesis Persus Caesonia,0,0,0,0,0,0,0,0,0
391,Myiagra alecto,0,0,0,0,0,0,1,6,7
392,Mysomela ningrita,0,0,0,0,0,0,0,0,0
393,Naja sputratrix,0,0,6,0,0,0,0,0,6
394,Naja sumatrana,0,5,1,1,9,0,0,0,16
395,Nannosciurus melanotis,0,0,0,0,23,0,0,0,23
396,Nectarinia aspasia,0,0,0,0,0,0,11,44,55
397,Nectarinia jugularis,0,0,0,1,0,0,5,3,9
398,Nephila inaurata,0,0,0,0,0,0,1,0,1
399,Neptis hylas,0,0,0,0,5,0,0,0,5
400,Nettapus pulchellus,0,0,0,0,0,0,0,0,0
401,Neurothemis fluctuans,0,0,0,0,1,0,0,0,1
402,Neurothemis stigmatizans,Neurothemis stigmatizans,0,0,0,0,0,0,0,0
403,Neurothemis stigmatizans,0,0,0,0,0,0,0,0,0
404,Neurothemis terminata,0,0,0,0,0,0,0,0,0
405,Ninox connivens,0,0,0,0,0,0,0,0,0
406,Ninox rufa,0,0,0,0,0,0,0,0,0
407,Nisaetus cirrhatus,0,0,0,0,8,0,0,0,8
408,Nisaetus nanus,0,0,0,0,0,0,0,0,0
409,Nucras caesicaudata,0,0,0,0,0,0,0,0,0
410,Nuri,0,0,0,0,0,0,0,0,0
411,Nycticorax caledonicus,0,0,0,0,0,0,0,2,2
412,Nyctormis amictus,0,0,0,0,0,0,0,0,0
413,Nyticorax nyticorax,0,0,0,0,0,0,0,0,0
414,Occidozyga sumatrana,0,0,0,0,0,0,0,0,0
415,Oecophylla Sp,0,0,0,0,1,0,0,0,1
416,Oligodon octolineatus,0,0,0,0,0,0,0,0,0
417,Onichoprion anaethetus,0,0,0,0,0,0,0,0,0
418,Ophiophagus hannah,0,0,0,0,0,0,0,0,0
419,Ophiophagus sp.,0,0,0,0,2,0,0,0,2
420,Oreochromis niloticus,0,0,1,0,0,0,0,0,1
421,Oriens Gola,0,0,0,0,0,0,0,0,0
422,Oriolus chinensis,0,0,0,0,0,0,0,0,0
