,Nama.Latin,closestMatch,ANJA,ANJAS,SMM,KAL,PMP,PPM,ANJAP,sum
528,Siput,0,0,0,0,0,0,0,0,0
529,Sphenomorphus sp.,0,0,0,0,0,0,0,0,0
530,Spilocuscus maculatus,0,0,0,0,0,0,0,0,0
531,Spilocuscus wilsoni,0,0,0,0,0,0,0,0,0
532,Spilornis cheela,0,0,0,5,3,0,0,0,8
533,Spinaria spinator,0,0,0,0,0,0,2,0,2
534,Stachyris rufifrons,0,0,0,0,0,0,0,0,0
535,Stagmomantis Carolina,0,0,0,0,0,0,0,0,0
536,Statmimanthis,0,0,0,0,0,0,0,0,0
537,Sterna albifrons,0,0,0,0,0,0,0,0,0
538,Sterna hirundo,0,0,0,0,0,0,0,0,0
539,Streptopelia chinensis,0,1,0,8,5,0,0,0,14
540,Sturnidae sp,0,0,0,0,0,0,0,0,0
541,Sus scrofa,0,0,0,0,0,7,2,8,17
542,Susica Pallida,0,0,0,0,0,0,0,0,0
543,Syma torotoro,0,0,0,0,0,1,0,1,2
544,Symphalangus syndactylus,0,0,0,0,0,0,0,0,0
545,Tabanidae,0,0,0,0,0,0,0,0,0
546,Tadorna radjah,0,0,0,0,0,0,0,17,17
547,Takydromus sexlineatus,0,0,0,0,0,0,0,0,0
548,Talegalla cuvieri,0,0,0,0,0,0,2,0,2
549,Talegalla jobiensis,0,0,0,0,0,0,0,0,0
550,Tarantula putih,0,0,0,0,0,0,0,0,0
551,Tarsius bancanus ssp. saltator,0,0,0,1,0,0,0,0,1
552,Tephrodornis gularis,0,0,0,0,0,0,0,0,0
553,Threskiornis aethiopicus,0,0,0,0,0,0,1,1,2
554,Thylogale brunii,0,0,0,0,0,0,0,0,0
555,Tikus,0,0,0,0,0,0,0,0,0
556,Tiliqua scincoides,0,0,0,0,0,0,2,1,3
557,Todhramphus chloris,0,3,0,0,0,0,0,0,3
558,Todiramphus sanctus,0,0,0,0,0,1,8,0,9
559,Tokek,0,0,0,0,0,0,0,0,0
560,Toxorhamphus novaeguineae,0,0,0,0,0,0,2,0,2
561,Toxotes sp.,0,0,0,0,0,0,0,0,0
562,Trachypithecus cristatus,0,0,6,0,0,0,0,0,6
563,Trachypithecus sp,0,0,0,0,0,0,0,0,0
564,Treron capellei,0,0,1,0,0,0,0,0,1
565,Treron curvirostra,0,0,0,0,0,0,0,0,0
566,Treron sp,0,0,0,0,0,0,0,0,0
