"","Media","N","Tinggi.tanaman","sd","se","ci"
"1","100% Jangkos",10,13.18,4.90482755388335,1.55104266006236,3.50870226326566
"2","100% Kompos",10,11.59,8.51279429251445,2.69198192168273,6.08968618625787
"3","100% Tanah",10,27.83,9.95200147374051,3.14709919343724,7.11923298247051
"4","50% Tanah 50% Jangkos",10,23.26,5.55901669962114,1.75791543217149,3.97668098648023
"5","50% Tanah 50% Kompos",10,29.78,6.37369594505417,2.01553962997506,4.55946741085172
