"","namaLatin","closestMatch"
"1","Stigmatopelia chinensis","Streptopelia chinensis"
"2","kupu-kupu","Kupu-Kupu"
"3","Spilopelia chinensis ","Streptopelia chinensis"
"4","Takydromus sexlineatus","Tropidolaemus subannulatus"
"5","Hierodula vitrea","Rhipidura atra"
"6","Scolopendra cataracta","Geopelia striata"
