"","namaLatin","closestMatch"
"1","Spilocuscus matulatus","Spilocuscus maculatus"
"2","Ripidura albolimbata","Rhipidura albolimbata"
"3","Pteropus vampiyus","Pteropus vampyrus"
"4","Melpihaga aurensis","Meliphaga aruensis"
"5","Macropsita pusio","Micropsitta pusio"
"6","Haliastur sphenurus","Haliastur Sphenurus"
