"","Media","N","Jumlah.petiqlule","sd","se","ci"
"1","100% Jangkos",10,61.6,43.2440105037038,13.6749568351949,30.9349015556925
"2","100% Kompos",10,21.2,21.3998961575881,6.76724135490641,15.3085635033858
"3","100% Tanah",10,61.2,43.3302563010088,13.702230151005,30.9965980824055
"4","50% Tanah 50% Jangkos",10,112.7,72.366428680708,22.8842740763171,51.7678245171781
"5","50% Tanah 50% Kompos",10,69.8,52.615587044145,16.6385095486345,37.6389235537298
