"","Media","n","mean","sd","min","Q1","median","Q3","max","percZero"
"1","100% Jangkos",10,0.2,0.1,0,0.1,0.2,0.2,0.3,10
"2","100% Kompos",10,0.1,0.1,0,0.1,0.1,0.2,0.2,10
"3","100% Tanah",10,0.1,0.1,0,0.1,0.1,0.2,0.3,20
"4","50% Tanah 50% Jangkos",10,0.2,0.1,0.1,0.1,0.2,0.2,0.4,0
"5","50% Tanah 50% Kompos",10,0.1,0.1,0,0,0.2,0.2,0.4,40
